Stock,Side,Entry,StopLoss,Target,Confidence,Strategy,Timestamp
RELIANCE.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:08:26.675105+05:30
BHARTIARTL.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:08:28.515903+05:30
SBIN.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:08:30.464449+05:30
TATAMOTORS.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:08:32.509064+05:30
TATASTEEL.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:08:34.561041+05:30
INFY.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:08:36.505274+05:30
ICICIBANK.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:08:38.450773+05:30
RELIANCE.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:11:19.833808+05:30
BHARTIARTL.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:11:22.088781+05:30
SBIN.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:11:25.771940+05:30
TATAMOTORS.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:11:27.924905+05:30
TATASTEEL.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:11:30.480963+05:30
INFY.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:11:32.430110+05:30
ICICIBANK.NS,BUY,100.0,95.0,110.0,0.99,always_buy,2025-10-04T21:11:34.270763+05:30
